INSERT Scripts     ~ Aero Quest Airlines

SURFING

INSERT INTO surfing (passenger_id, trip_id, cookies_generated) 
VALUES 
('P00000001', 'T0006', 342),
('P00000002', 'T0009', 277),
('P00000003', 'T0007', 398),
('P00000004', 'T0008', 321),
('P00000005', 'T0006', 469),
('P00000006', 'T0010', 265),
('P00000007', 'T0007', 335),
('P00000008', 'T0008', 414),
('P00000009', 'T0009', 356),
('P00000010', 'T0010', 287),
('P00000011', 'T0006', 421),
('P00000012', 'T0007', 376),
('P00000013', 'T0008', 295),
('P00000014', 'T0009', 448),
('P00000015', 'T0010', 329),
('P00000016', 'T0006', 281),
('P00000017', 'T0007', 297),
('P00000018', 'T0008', 384),
('P00000019', 'T0009', 416),
('P00000020', 'T0010', 377),
('P00000021', 'T0006', 329),
('P00000022', 'T0007', 345),
('P00000023', 'T0008', 421),
('P00000024', 'T0009', 388),
('P00000025', 'T0010', 302),
('P00000026', 'T0006', 367),
('P00000027', 'T0007', 294),
('P00000028', 'T0008', 426),
('P00000029', 'T0009', 312),
('P00000030', 'T0010', 287),
('P00000031', 'T0006', 448),
('P00000032', 'T0007', 376),
('P00000033', 'T0008', 314),
('P00000034', 'T0009', 379),
('P00000035', 'T0010', 352),
('P00000036', 'T0006', 289),
('P00000037', 'T0007', 368),
('P00000038', 'T0008', 398),
('P00000039', 'T0009', 411),
('P00000040', 'T0010', 337),
('P00000041', 'T0006', 313),
('P00000042', 'T0007', 296),
('P00000043', 'T0008', 362),
('P00000044', 'T0009', 324),
('P00000045', 'T0010', 295),
('P00000046', 'T0006', 377),
('P00000047', 'T0007', 295),
('P00000048', 'T0008', 413),
('P00000049', 'T0009', 371),
('P00000050', 'T0010', 332),
('P00000001', 'T0006', 412),
('P00000002', 'T0009', 356),
('P00000003', 'T0007', 322),
('P00000004', 'T0008', 287),
('P00000005', 'T0006', 339),
('P00000006', 'T0010', 303),
('P00000007', 'T0007', 344),
('P00000008', 'T0008', 278),
('P00000009', 'T0009', 399),
('P00000010', 'T0010', 419),
('P00000011', 'T0006', 391),
('P00000012', 'T0007', 318),
('P00000013', 'T0008', 375),
('P00000014', 'T0009', 362),
('P00000015', 'T0010', 393),
('P00000016', 'T0006', 331),
('P00000017', 'T0007', 408),
('P00000018', 'T0008', 336),
('P00000019', 'T0009', 391),
('P00000020', 'T0010', 324),
('P00000021', 'T0006', 276),
('P00000022', 'T0007', 327),
('P00000023', 'T0008', 363),
('P00000024', 'T0009', 417),
('P00000025', 'T0010', 378),
('P00000026', 'T0006', 298),
('P00000027', 'T0007', 393),
('P00000028', 'T0008', 387),
('P00000029', 'T0009', 308),
('P00000030', 'T0010', 399),
('P00000031', 'T0006', 333),
('P00000032', 'T0007', 319),
('P00000033', 'T0008', 338),
('P00000034', 'T0009', 281),
('P00000035', 'T0010', 369),
('P00000036', 'T0006', 416),
('P00000037', 'T0007', 372),
('P00000038', 'T0008', 301),
('P00000039', 'T0009', 412),
('P00000040', 'T0010', 285),
('P00000041', 'T0006', 326),
('P00000042', 'T0007', 379),
('P00000043', 'T0008', 329),
('P00000044', 'T0009', 308),
('P00000045', 'T0010', 375),
('P00000046', 'T0006', 411),
('P00000047', 'T0007', 282),
('P00000048', 'T0008', 319),
('P00000049', 'T0009', 349),
('P00000050', 'T0010', 384),
('P00000001', 'T0006', 395),
('P00000002', 'T0009', 306),
('P00000003', 'T0007', 336),
('P00000004', 'T0008', 381),
('P00000005', 'T0006', 312),
('P00000006', 'T0010', 297),
('P00000007', 'T0007', 421),
('P00000008', 'T0008', 395),
('P00000009', 'T0009', 387),
('P00000010', 'T0010', 331),
('P00000011', 'T0006', 349),
('P00000012', 'T0007', 396),
('P00000013', 'T0008', 379),
('P00000014', 'T0009', 308),
('P00000015', 'T0010', 346),
('P00000016', 'T0006', 417),
('P00000017', 'T0007', 289),
('P00000018', 'T0008', 426),
('P00000019', 'T0009', 393),
('P00000020', 'T0010', 292),
('P00000021', 'T0006', 315),
('P00000022', 'T0007', 362),
('P00000023', 'T0008', 398),
('P00000024', 'T0009', 301),
('P00000025', 'T0010', 401),
('P00000026', 'T0006', 343),
('P00000027', 'T0007', 385),
('P00000028', 'T0008', 404),
('P00000029', 'T0009', 368),
('P00000030', 'T0010', 425),
('P00000031', 'T0006', 312),
('P00000032', 'T0007', 372),
('P00000033', 'T0008', 395),
('P00000034', 'T0009', 333),
('P00000035', 'T0010', 387),
('P00000036', 'T0006', 308),
('P00000037', 'T0007', 365),
('P00000038', 'T0008', 384),
('P00000039', 'T0009', 396),
('P00000040', 'T0010', 329),
('P00000041', 'T0006', 349),
('P00000042', 'T0007', 381),
('P00000043', 'T0008', 316),
('P00000044', 'T0009', 404),
('P00000045', 'T0010', 337),
('P00000046', 'T0006', 389),
('P00000047', 'T0007', 368),
('P00000048', 'T0008', 337),
('P00000049', 'T0009', 391),
('P00000050', 'T0010', 374);
('P00000001', 'T0004', 442),
('P00000002', 'T0002', 457),
('P00000003', 'T0003', 361),
('P00000004', 'T0005', 495),
('P00000005', 'T0001', 235),
('P00000006', 'T0004', 273),
('P00000007', 'T0002', 287),
('P00000008', 'T0003', 335),
('P00000009', 'T0005', 389),
('P00000010', 'T0001', 246),
('P00000011', 'T0004', 324),
('P00000012', 'T0002', 382),
('P00000013', 'T0003', 462),
('P00000014', 'T0005', 456),
('P00000015', 'T0001', 281),
('P00000016', 'T0004', 278),
('P00000017', 'T0002', 468),
('P00000018', 'T0003', 267),
('P00000019', 'T0005', 233),
('P00000020', 'T0001', 496),
('P00000021', 'T0004', 429),
('P00000022', 'T0002', 257),
('P00000023', 'T0003', 458),
('P00000024', 'T0005', 243),
('P00000025', 'T0001', 277),
('P00000026', 'T0004', 428),
('P00000027', 'T0002', 374),
('P00000028', 'T0003', 446),
('P00000029', 'T0005', 364),
('P00000030', 'T0001', 394),
('P00000031', 'T0004', 331),
('P00000032', 'T0002', 274),
('P00000033', 'T0003', 412),
('P00000034', 'T0005', 277),
('P00000035', 'T0001', 395),
('P00000036', 'T0004', 398),
('P00000037', 'T0002', 472),
('P00000038', 'T0003', 398),
('P00000039', 'T0005', 324),
('P00000040', 'T0001', 282),
('P00000041', 'T0004', 326),
('P00000042', 'T0002', 441),
('P00000043', 'T0003', 295),
('P00000044', 'T0005', 452),
('P00000045', 'T0001', 362),
('P00000046', 'T0004', 423),
('P00000047', 'T0002', 437),
('P00000048', 'T0003', 432),
('P00000049', 'T0005', 441),
('P00000050', 'T0001', 376),
('P00000001', 'T0003', 362),
('P00000002', 'T0004', 285),
('P00000003', 'T0001', 298),
('P00000004', 'T0002', 275),
('P00000005', 'T0003', 442),
('P00000006', 'T0005', 299),
('P00000007', 'T0001', 398),
('P00000008', 'T0004', 474),
('P00000009', 'T0002', 426),
('P00000010', 'T0003', 312),
('P00000011', 'T0005', 317),
('P00000012', 'T0001', 467),
('P00000013', 'T0004', 308),
('P00000014', 'T0002', 437),
('P00000015', 'T0003', 338),
('P00000016', 'T0005', 465),
('P00000017', 'T0001', 285),
('P00000018', 'T0004', 472),
('P00000019', 'T0002', 389),
('P00000020', 'T0003', 462),
('P00000021', 'T0005', 382),
('P00000022', 'T0001', 389),
('P00000023', 'T0004', 428),
('P00000024', 'T0002', 281),
('P00000025', 'T0003', 457),
('P00000026', 'T0005', 418),
('P00000027', 'T0001', 347),
('P00000028', 'T0004', 438),
('P00000029', 'T0002', 474),
('P00000030', 'T0003', 495),
('P00000031', 'T0005', 299),
('P00000032', 'T0001', 276),
('P00000033', 'T0004', 399),
('P00000034', 'T0002', 345),
('P00000035', 'T0003', 372),
('P00000036', 'T0005', 321),
('P00000037', 'T0001', 456),
('P00000038', 'T0004', 453),
('P00000039', 'T0002', 493),
('P00000040', 'T0003', 295),
('P00000041', 'T0005', 409),
('P00000042', 'T0001', 422),
('P00000043', 'T0004', 331),
('P00000044', 'T0002', 376),
('P00000045', 'T0003', 255),
('P00000046', 'T0005', 397),
('P00000047', 'T0001', 421),
('P00000048', 'T0004', 245);
('P00000001', 'T0003', 210),
('P00000002', 'T0004', 345),
('P00000003', 'T0001', 256),
('P00000004', 'T0005', 482),
('P00000005', 'T0002', 361),
('P00000006', 'T0003', 298),
('P00000007', 'T0001', 409),
('P00000008', 'T0004', 268),
('P00000009', 'T0005', 377),
('P00000010', 'T0002', 290),
('P00000011', 'T0003', 423),
('P00000012', 'T0001', 173),
('P00000013', 'T0004', 197),
('P00000014', 'T0002', 273),
('P00000015', 'T0005', 395),
('P00000016', 'T0003', 151),
('P00000017', 'T0001', 256),
('P00000018', 'T0004', 372),
('P00000019', 'T0002', 487),
('P00000020', 'T0003', 288),
('P00000021', 'T0005', 448),
('P00000022', 'T0001', 252),
('P00000023', 'T0004', 195),
('P00000024', 'T0002', 390),
('P00000025', 'T0003', 345),
('P00000026', 'T0005', 193),
('P00000027', 'T0001', 249),
('P00000028', 'T0004', 300),
('P00000029', 'T0002', 268),
('P00000030', 'T0003', 452),
('P00000031', 'T0005', 211),
('P00000032', 'T0001', 333),
('P00000033', 'T0004', 286),
('P00000034', 'T0002', 172),
('P00000035', 'T0003', 317),
('P00000036', 'T0005', 398),
('P00000037', 'T0001', 466),
('P00000038', 'T0004', 348),
('P00000039', 'T0002', 482),
('P00000040', 'T0003', 182),
('P00000041', 'T0005', 410),
('P00000042', 'T0001', 299),
('P00000043', 'T0004', 497),
('P00000044', 'T0002', 325),
('P00000045', 'T0003', 294),
('P00000046', 'T0005', 488),
('P00000047', 'T0001', 395),
('P00000048', 'T0004', 267),
('P00000049', 'T0002', 445),
('P00000050', 'T0003', 229),
('P00000001', 'T0005', 308),
('P00000002', 'T0001', 234),
('P00000003', 'T0004', 377),
('P00000004', 'T0002', 388),
('P00000005', 'T0003', 417),
('P00000006', 'T0005', 361),
('P00000007', 'T0001', 499),
('P00000008', 'T0004', 412),
('P00000009', 'T0002', 358),
('P00000010', 'T0003', 421),
('P00000011', 'T0005', 322),
('P00000012', 'T0001', 369),
('P00000013', 'T0004', 332),
('P00000014', 'T0002', 284),
('P00000015', 'T0003', 395),
('P00000016', 'T0005', 421),
('P00000017', 'T0001', 437),
('P00000018', 'T0004', 237),
('P00000019', 'T0002', 408),
('P00000020', 'T0003', 244),
('P00000021', 'T0005', 433),
('P00000022', 'T0001', 478),
('P00000023', 'T0004', 208),
('P00000024', 'T0002', 355),
('P00000025', 'T0003', 212),
('P00000026', 'T0005', 378),
('P00000027', 'T0001', 297),
('P00000028', 'T0004', 344),
('P00000029', 'T0002', 482),
('P00000030', 'T0003', 462),
('P00000031', 'T0005', 212),
('P00000032', 'T0001', 399),
('P00000033', 'T0004', 232),
('P00000034', 'T0002', 290),
('P00000035', 'T0003', 218),
('P00000036', 'T0005', 336),
